Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
345	92.8404	92.8019	1.47987	0
346	92.8445	92.8083	1.47969	0
347	92.8485	92.8147	1.47951	0
348	92.8525	92.821	1.47933	0
349	92.8565	92.8273	1.47915	0
350	92.8604	92.8336	1.47898	0
351	92.8643	92.8397	1.4788	0
352	92.8681	92.8458	1.47863	0
353	92.8719	92.8518	1.47846	0
354	92.8757	92.8576	1.47829	0
355	92.8795	92.8634	1.47812	0
356	92.8832	92.869	1.47796	0
357	92.8868	92.8744	1.47779	0
358	92.8905	92.8797	1.47763	0
359	92.8941	92.8849	1.47747	0
360	92.8977	92.8899	1.47731	0
361	92.9012	92.8948	1.47715	0
362	92.9047	92.8994	1.47699	0
363	92.9082	92.9039	1.47684	0
364	92.9116	92.9083	1.47668	0
365	92.915	92.9125	1.47653	0
366	92.9184	92.9165	1.47638	0
367	92.9218	92.9203	1.47623	0
368	92.9251	92.924	1.47608	0
369	92.9284	92.9275	1.47593	0
370	92.9317	92.9308	1.47578	0
371	92.9349	92.9339	1.47564	0
372	92.9381	92.937	1.47549	0
373	92.9413	92.9398	1.47535	0
374	92.9444	92.9425	1.47521	0
375	92.9476	92.9451	1.47507	0
376	92.9507	92.9475	1.47493	0
377	92.9537	92.9498	1.47479	0
378	92.9568	92.952	1.47466	0
379	92.9598	92.954	1.47452	0
380	92.9628	92.9559	1.47439	0
381	92.9658	92.9578	1.47425	0
382	92.9687	92.9595	1.47412	0
383	92.9716	92.9611	1.47399	0
384	92.9745	92.9627	1.47386	0
385	92.9774	92.9641	1.47373	0
386	92.9802	92.9656	1.4736	0
387	92.9831	92.9669	1.47348	0
388	92.9858	92.9682	1.47335	0
389	92.9886	92.9694	1.47323	0
390	92.9914	92.9707	1.4731	0
391	92.9941	92.9718	1.47298	0
392	92.9968	92.973	1.47286	0
393	92.9995	92.9741	1.47274	0
394	93.0022	92.9752	1.47262	0
395	93.0048	92.9764	1.4725	0
396	93.0074	92.9775	1.47238	0
397	93.01	92.9786	1.47227	0
398	93.0126	92.9797	1.47215	0
399	93.0152	92.9809	1.47203	0
400	93.0177	92.9821	1.47192	0
401	93.0202	92.9833	1.47181	0
402	93.0227	92.9845	1.4717	0
403	93.0252	92.9858	1.47158	0
404	93.0277	92.9871	1.47147	0
405	93.0301	92.9885	1.47136	0
406	93.0325	92.9899	1.47126	0
407	93.0349	92.9913	1.47115	0
408	93.0373	92.9928	1.47104	0
409	93.0397	92.9944	1.47093	0
410	93.042	92.996	1.47083	0
411	93.0443	92.9977	1.47073	0
412	93.0467	92.9994	1.47062	0
413	93.049	93.0012	1.47052	0
414	93.0512	93.0031	1.47042	0
415	93.0535	93.005	1.47032	0
416	93.0557	93.007	1.47021	0
417	93.058	93.009	1.47012	0
418	93.0602	93.0111	1.47002	0
419	93.0623	93.0133	1.46992	0
420	93.0645	93.0155	1.46982	0
421	93.0667	93.0178	1.46972	0
422	93.0688	93.0202	1.46963	0
423	93.0709	93.0226	1.46953	0
424	93.0731	93.0251	1.46944	0
425	93.0752	93.0276	1.46934	0
426	93.0772	93.0301	1.46925	0
427	93.0793	93.0328	1.46916	0
428	93.0814	93.0354	1.46907	0
429	93.0834	93.0381	1.46897	0
430	93.0854	93.0409	1.46888	0
431	93.0874	93.0437	1.46879	0
432	93.0894	93.0465	1.46871	0
433	93.0914	93.0494	1.46862	0
434	93.0934	93.0523	1.46853	0
435	93.0953	93.0553	1.46844	0
436	93.0972	93.0582	1.46836	0
437	93.0992	93.0612	1.46827	0
438	93.1011	93.0642	1.46818	0
439	93.103	93.0673	1.4681	0
440	93.1048	93.0703	1.46802	0
441	93.1067	93.0734	1.46793	0
442	93.1086	93.0764	1.46785	0
443	93.1104	93.0795	1.46777	0
444	93.1122	93.0826	1.46768	0
445	93.1141	93.0857	1.4676	0
446	93.1159	93.0888	1.46752	0
447	93.1176	93.0918	1.46744	0
448	93.1194	93.0949	1.46736	0
449	93.1212	93.098	1.46728	0
450	93.123	93.101	1.46721	0
451	93.1247	93.104	1.46713	0
452	93.1264	93.107	1.46705	0
453	93.1282	93.11	1.46697	0
454	93.1299	93.113	1.4669	0
455	93.1316	93.116	1.46682	0
456	93.1332	93.1189	1.46675	0
457	93.1349	93.1218	1.46667	0
458	93.1366	93.1246	1.4666	0
459	93.1382	93.1275	1.46653	0
460	93.1399	93.1302	1.46645	0
461	93.1415	93.133	1.46638	0
462	93.1431	93.1357	1.46631	0
463	93.1447	93.1384	1.46624	0
464	93.1463	93.141	1.46616	0
465	93.1479	93.1436	1.46609	0
466	93.1495	93.1462	1.46602	0
467	93.1511	93.1487	1.46595	0
468	93.1526	93.1511	1.46588	0
469	93.1542	93.1535	1.46582	0
470	93.1557	93.1559	1.46575	0
471	93.1572	93.1582	1.46568	0
472	93.1588	93.1605	1.46561	0
473	93.1603	93.1627	1.46555	0
474	93.1618	93.1648	1.46548	0
475	93.1633	93.1669	1.46541	0
476	93.1647	93.169	1.46535	0
477	93.1662	93.171	1.46528	0
478	93.1677	93.1729	1.46522	0
479	93.1691	93.1748	1.46515	0
480	93.1706	93.1767	1.46509	0
481	93.172	93.1785	1.46503	0
482	93.1734	93.1802	1.46496	0
483	93.1749	93.1819	1.4649	0
484	93.1763	93.1835	1.46484	0
485	93.1777	93.1851	1.46478	0
486	93.1791	93.1866	1.46471	0
487	93.1804	93.1881	1.46465	0
488	93.1818	93.1895	1.46459	0
489	93.1832	93.1909	1.46453	0
490	93.1845	93.1922	1.46447	0
491	93.1859	93.1935	1.46441	0
492	93.1872	93.1947	1.46435	0
493	93.1886	93.1959	1.46429	0
494	93.1899	93.197	1.46424	0
495	93.1912	93.1981	1.46418	0
496	93.1925	93.1992	1.46412	0
497	93.1938	93.2002	1.46406	0
498	93.1951	93.2011	1.46401	0
499	93.1964	93.2021	1.46395	0
500	93.1977	93.2029	1.46389	0
501	93.1989	93.2038	1.46384	0
502	93.2002	93.2046	1.46378	0
503	93.2015	93.2053	1.46373	0
504	93.2027	93.2061	1.46367	0
505	93.204	93.2068	1.46362	0
506	93.2052	93.2074	1.46356	0
507	93.2064	93.2081	1.46351	0
508	93.2076	93.2086	1.46346	0
509	93.2088	93.2092	1.4634	0
510	93.2101	93.2097	1.46335	0
511	93.2113	93.2103	1.4633	0
512	93.2125	93.2107	1.46324	0
513	93.2136	93.2112	1.46319	0
514	93.2148	93.2116	1.46314	0
515	93.216	93.212	1.46309	0
516	93.2172	93.2124	1.46304	0
517	93.2183	93.2128	1.46299	0
518	93.2195	93.2131	1.46294	0
519	93.2206	93.2135	1.46289	0
520	93.2218	93.2138	1.46284	0
521	93.2229	93.2141	1.46279	0
522	93.224	93.2144	1.46274	0
