Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
325.01	89.057	92.0791	1.50881	0
325.8	87.446	92.089	1.50852	0
326.59	89.458	92.0987	1.50823	0
327.38	88.093	92.1081	1.50794	0
328.17	89.716	92.1171	1.50765	0
328.95	87.488	92.1258	1.50737	0
329.74	88.973	92.1342	1.50709	0
330.53	89.375	92.1423	1.50681	0
331.32	89.675	92.1501	1.50654	0
332.11	89.262	92.1576	1.50626	0
332.9	87.889	92.1647	1.50599	0
333.69	88.134	92.1716	1.50572	0
334.48	89.798	92.1781	1.50545	0
335.27	88.622	92.1842	1.50519	0
336.05	89.261	92.19	1.50493	0
336.84	91.122	92.1956	1.50467	0
337.63	90.246	92.2009	1.50441	0
338.42	89.063	92.2059	1.50415	0
339.21	91.099	92.2106	1.5039	0
340	91.273	92.2151	1.50364	0
340.78	91.273	92.2192	1.5034	0
341.57	89.788	92.2232	1.50315	0
342.36	90.455	92.2269	1.5029	0
343.15	88.781	92.2305	1.50266	0
343.94	90.091	92.2338	1.50241	0
344.72	89.99	92.2369	1.50218	0
345.51	89.718	92.2399	1.50194	0
346.3	91.049	92.2427	1.5017	0
347.09	88.578	92.2453	1.50146	0
347.87	90.945	92.2478	1.50123	0
348.66	89.258	92.2503	1.501	0
349.45	90.309	92.2526	1.50077	0
350.24	92.499	92.2549	1.50054	0
351.02	91.413	92.257	1.50032	0
351.81	91.567	92.2592	1.50009	0
352.6	90.669	92.2613	1.49987	0
353.38	93.169	92.2633	1.49965	0
354.17	92.243	92.2653	1.49943	0
354.96	90.878	92.2674	1.49921	0
355.75	91.914	92.2695	1.499	0
356.53	90.867	92.2715	1.49879	0
357.32	91.333	92.2736	1.49857	0
358.11	92.262	92.2758	1.49836	0
358.89	92.459	92.278	1.49815	0
359.68	90.966	92.2803	1.49795	0
360.47	91.943	92.2826	1.49774	0
361.25	93.467	92.2851	1.49754	0
362.04	90.933	92.2876	1.49733	0
362.82	91.77	92.2902	1.49713	0
363.61	91.354	92.2929	1.49693	0
364.4	92.448	92.2957	1.49673	0
365.18	91.4	92.2986	1.49654	0
365.97	92.747	92.3017	1.49634	0
366.75	91.699	92.3048	1.49615	0
367.54	90.617	92.3082	1.49595	0
368.33	92.859	92.3116	1.49576	0
369.11	92.132	92.3151	1.49557	0
369.9	89.579	92.3188	1.49538	0
370.68	91.006	92.3225	1.4952	0
371.47	91.659	92.3265	1.49501	0
372.25	92.134	92.3305	1.49483	0
373.04	92.119	92.3347	1.49464	0
373.82	88.855	92.339	1.49446	0
374.61	92.133	92.3434	1.49428	0
375.4	92.494	92.348	1.4941	0
376.18	91.126	92.3526	1.49392	0
376.97	92.116	92.3574	1.49375	0
377.75	93.203	92.3623	1.49357	0
378.54	92.051	92.3673	1.4934	0
379.32	93.382	92.3724	1.49322	0
380.11	92.71	92.3776	1.49305	0
380.89	91.521	92.3828	1.49288	0
381.67	91.991	92.3882	1.49271	0
382.46	92.642	92.3937	1.49254	0
383.24	93.684	92.3992	1.49238	0
384.03	91.492	92.4048	1.49221	0
384.81	91.486	92.4104	1.49205	0
385.6	91.662	92.4162	1.49188	0
386.38	91.748	92.422	1.49172	0
387.17	92.564	92.4279	1.49156	0
387.95	92.766	92.4337	1.4914	0
388.73	92.176	92.4396	1.49124	0
389.52	92.944	92.4456	1.49108	0
390.3	93.097	92.4515	1.49092	0
391.09	91.524	92.4575	1.49077	0
391.87	92.224	92.4635	1.49061	0
392.65	92.271	92.4694	1.49046	0
393.44	91.996	92.4755	1.4903	0
394.22	92.962	92.4814	1.49015	0
395	91.85	92.4874	1.49	0
395.79	92.273	92.4934	1.48985	0
396.57	92.692	92.4993	1.4897	0
397.35	92.14	92.5052	1.48956	0
398.14	91.511	92.5111	1.48941	0
398.92	93.294	92.5169	1.48926	0
399.7	91.591	92.5226	1.48912	0
400.49	92.922	92.5284	1.48897	0
401.27	94.115	92.534	1.48883	0
402.05	93.533	92.5396	1.48869	0
402.84	91.775	92.5452	1.48855	0
403.62	94.366	92.5506	1.48841	0
404.4	92.952	92.556	1.48827	0
405.18	93.727	92.5613	1.48813	0
405.97	92.323	92.5666	1.48799	0
406.75	92.293	92.5717	1.48785	0
407.53	91.585	92.5768	1.48772	0
408.31	92.944	92.5817	1.48758	0
409.1	93.495	92.5866	1.48745	0
409.88	93.183	92.5914	1.48731	0
410.66	92.383	92.5961	1.48718	0
411.44	92.793	92.6006	1.48705	0
412.22	93.536	92.6051	1.48692	0
413.01	92.245	92.6095	1.48679	0
413.79	92.694	92.6138	1.48666	0
414.57	91.817	92.618	1.48653	0
415.35	92.887	92.622	1.48641	0
416.13	93.29	92.626	1.48628	0
416.92	91.822	92.6299	1.48615	0
417.7	92.615	92.6336	1.48603	0
418.48	93.636	92.6372	1.4859	0
419.26	91.131	92.6407	1.48578	0
420.04	92.83	92.6441	1.48566	0
420.82	92.659	92.6474	1.48553	0
421.6	91.527	92.6506	1.48541	0
422.38	91.199	92.6537	1.48529	0
423.17	92.296	92.6567	1.48517	0
423.95	92.238	92.6596	1.48505	0
424.73	93.278	92.6624	1.48493	0
425.51	92.437	92.665	1.48482	0
426.29	92.428	92.6676	1.4847	0
427.07	92.538	92.6701	1.48458	0
427.85	92.384	92.6724	1.48447	0
428.63	93.35	92.6747	1.48435	0
429.41	92.553	92.6769	1.48424	0
430.19	93.145	92.679	1.48413	0
430.97	93.463	92.681	1.48401	0
431.75	91.358	92.6829	1.4839	0
432.53	92.001	92.6847	1.48379	0
433.31	91.729	92.6864	1.48368	0
434.09	92.916	92.6881	1.48357	0
434.87	93.127	92.6896	1.48346	0
435.65	93.679	92.6911	1.48335	0
436.43	92.635	92.6926	1.48324	0
437.21	92.297	92.6939	1.48314	0
437.99	92.292	92.6952	1.48303	0
438.77	92.92	92.6964	1.48292	0
439.55	92.336	92.6976	1.48282	0
440.33	91.469	92.6987	1.48271	0
441.11	91.824	92.6997	1.48261	0
441.89	94.092	92.7007	1.4825	0
442.67	92.294	92.7017	1.4824	0
443.45	91.505	92.7025	1.4823	0
444.23	92.002	92.7034	1.48219	0
445.01	91.79	92.7042	1.48209	0
445.79	93.002	92.7049	1.48199	0
446.57	92.674	92.7056	1.48189	0
447.35	92.674	92.7063	1.48179	0
448.12	92.155	92.707	1.48169	0
